English,Espanol
hello,hola
world,mundo
goodbye,adiós
morning,mañana
night,noche
day,día
house,casa
car,coche
school,escuela
book,libro
friend,amigo
family,familia
tree,árbol
cat,gato
dog,perro
bird,pájaro
sun,sol
moon,luna
star,estrella
water,agua
fire,fuego
earth,tierra
air,aire
love,amor
hate,odio
happy,feliz
sad,triste
angry,enojado
calm,calma
beauty,belleza
ugly,feo
rich,rico
poor,pobre
young,joven
old,viejo
big,grande
small,pequeño
fast,rápido
slow,lento
hot,caliente
cold,frío
light,luz
dark,oscuro
good,bueno
bad,malo
sweet,dulce
sour,agrio
bitter,amargo
sharp,afilado
dull,embotado
hard,duro
soft,blando
strong,fuerte
weak,débil
brave,valiente
cowardly,cobarde
kind,amable
cruel,cruel
fun,divertido
boring,aburrido
easy,fácil
difficult,difícil
new,nuevo
old,viejo
clean,limpio
dirty,sucio
right,derecho
left,izquierdo
up,arriba
down,abajo
front,delante
back,atrás
inside,dentro
outside,fuera
high,alto
low,bajo
near,cerca
far,lejos
open,abierto
closed,cerrado
happy,contento
sad,triste
angry,enojado
hungry,hambriento
thirsty, sediento
tired,cansado
energetic,energético
busy,ocupado
free,libre
early,temprano
late, tarde
correct,correcto
wrong,equivocado
beautiful,hermoso
ugly,feo
easy,fácil
difficult,difícil
hot,caliente
cold,frío
strong,fuerte
weak,débil
fast,rápido
slow,lento
bright,brillante
dark,oscuro
sweet,dulce
sour,agrio
salty,salado
bitter,amargo
sharp,afilado
dull,embotado
loud,fuerte
soft, suave
tall,alto
short,bajo
wide,ancho
narrow,estrecho
empty,vacío
full,lleno
wet,mojado
dry,seco
clean,limpio
dirty,sucio
light,luz
dark,oscuridad
smooth,liso
rough,áspero
good,bueno
bad,malo
loud,alto
quiet,tranquilo
sweet,dulce
bitter,amargo
cheap,barato
expensive,caro
young,joven
old,viejo
old,antiguo
modern,moderno
modern,contemporáneo
early,temprano
late,tarde
